FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Prediction,Anomaly Probability,Risk Level
0.7379535,-0.25822017,0.3359525,-1.6481252,-0.04660751,-0.30869982,1.6503073,-0.6848402,-1.651437,-3.0202951,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,-2.0219474,-2.1077688,1.1742169,-0.053037953,-1.8383023,-0.07148143,-0.19763958,-0.05106706,-2.0417242,0.35593557,-0.7119914,0.19797248,0.8627636,0.0,0.16158266,-0.006451257,0.0,0.16456808,-1.0630711,-0.76012856,-0.041319303,0.2811847,0.17970726,0.21177268,0.14590707,0.17039666,0.16504763,0.0,0.09669631,-1.1011528,0.06814665,-0.099023014,0.0,-0.09145291,0.0,0,0.28890855366295126,Normal
-1.5651784,1.7770681,0.3359525,-1.6481252,-0.04660751,-0.24802236,-0.053036027,2.2375493,-1.651437,0.32165465,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,0.51513094,0.4969439,0.9057082,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,-2.810152,0.48556003,0.13440174,-0.68742883,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.018206676,0.70059717,0.40461323,-0.20668395,0.115121216,0.07792669,0.19959757,0.19611344,0.16504763,0.0,0.24941018,-0.4074145,0.27103084,-0.09860217,0.0,-0.09145291,0.0,0,0.0,Normal
-1.5651784,1.7777016,0.3359525,-1.6481252,-0.04660751,-0.24802236,-0.2564577,2.0860689,-1.651437,0.32165465,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,0.52598095,0.47966114,-0.8636669,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,-2.810152,0.6168603,0.12739141,-0.43028706,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.018206676,0.89545923,0.783675,-0.17320174,0.104749195,-0.014249847,0.218225,0.22054158,0.16504763,0.0,0.22639786,-0.35404992,0.25317746,-0.09860217,0.0,-0.09145291,0.0,0,0.0,Normal
0.5406141,-0.45364118,0.3359525,0.60675,-0.04660751,3.0480819,-0.4978601,-0.261863,0.5950634,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.44008467,0.4934878,0.91302305,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,4.128498,-6.079975,-0.24183325,0.0,0.16158266,-0.006451257,0.0,-6.076513,4.968159,5.701579,0.40461323,0.032468177,-1.617348,-1.8641113,-3.253033,-6.0127554,-6.058857,0.0,-2.0915296,-3.7693753,-1.7128991,-0.09818133,0.0,-0.09145291,0.0,1,0.9989155031711294,High Risk
-1.5651784,0.8028154,-2.8807752,0.60675,-0.04660751,2.8584757,-0.28629547,-0.110384755,0.62093794,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.5264329,0.4835677,-1.024597,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.54344153,0.16197982,-0.24741068,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.07582135,-0.6708823,-1.1450171,-0.1779858,0.15236485,0.11833432,0.1787783,0.17811249,0.16504763,0.0,0.18246761,1.2468836,0.17148148,-0.09818133,0.0,-0.09145291,0.0,0,0.02094460048456407,Normal
-1.5651784,1.2094927,0.3359525,0.60675,-0.04660751,-0.24802236,-0.3893691,-0.14650598,0.61574,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4816771,0.4757534,-1.1317406,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,-0.46894217,0.19002476,-0.31844768,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.3550022,-0.6827837,-0.7381041,-0.115805425,0.18253565,0.09370923,0.15028985,0.17296994,0.16504763,0.0,0.14815804,1.8872551,0.14334898,-0.09818133,0.0,-0.09145291,0.0,0,0.027517755026041594,Normal
-1.5651784,0.35432982,0.3359525,0.60675,-0.04660751,-0.24802236,-0.7311111,-0.007262099,0.61952,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.54677576,0.48416954,-0.99318576,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35593557,0.31794012,0.07176837,-0.14584519,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.16001678,0.8552984,0.24296834,-0.3166925,0.056191962,-0.063495114,0.25000077,0.22182623,0.16504763,0.0,0.35191843,1.567071,0.39059478,-0.097339645,0.0,-0.09145291,0.0,0,0.0,Normal
0.7096433,-0.52427083,0.3359525,0.60675,-0.04660751,2.8008325,-0.40835524,-0.18437496,0.6035702,0.32165465,-0.19815527,0.0,0.61000216,-0.0062324977,0.7016402,-0.006176598,0.4812252,0.48973024,0.68969905,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35562918,-0.5453051,0.21947397,0.73683405,0.0,0.16158266,-0.006451257,0.0,0.16456808,0.08911172,-0.6396461,-0.8885981,-0.06319317,0.21506406,0.4687343,0.120705046,0.13953932,0.16504763,0.0,0.08497862,-0.51414394,0.0649015,-0.099023014,0.0,-0.09145291,0.0,0,0.015198789624425526,Normal
0.6780019,0.4198922,0.3359525,-1.6481252,-0.04660751,-0.9108873,2.0191784,-0.8631213,-1.651437,-3.0202951,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,0.5494886,0.47815716,0.72283244,-0.053037953,0.5042549,-0.07148143,-0.19763958,-0.05106706,0.48978215,0.35583344,-0.78835434,0.16758955,-0.64926857,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.7440053,-0.96689206,-2.064768,0.12812828,0.16603605,0.27364594,0.15028985,0.15111107,0.16504763,0.0,0.11887035,-0.51414394,0.083835475,-0.099023014,0.0,-0.09145291,0.0,0,0.0957760228657928,Normal
0.5422789,1.2927921,0.3359525,-1.6481252,-0.04660751,-1.0656011,2.0897055,-0.9411911,-1.651437,-3.0202951,-0.19815527,0.0,-1.6393385,-0.0062324977,-1.4252319,-0.006176598,-2.0282764,-2.1077688,1.1866895,-0.053037953,-1.8383023,-0.07148143,-0.19763958,-0.05106706,-2.0417242,0.35593557,-0.8004585,0.1563701,-0.13586445,0.0,0.16158266,-0.006451257,0.0,0.16456808,-0.93455136,-0.9728457,-0.9722213,0.20465711,0.15519325,0.26291066,0.14152344,0.14596851,0.16504763,0.0,0.1607088,-1.0477886,0.12820046,-0.099023014,0.0,-0.09145291,0.0,0,0.02055755109070828,Normal
